subject,task,session,file,condition,n_trials
sub28,task1,4,clean_epochs_task1_ICA_sub28_hbf1_sess4-epo.fif,error_right,26
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,correct,143
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,error,7
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,left,6
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,right,144
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,correct_left,4
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,correct_right,139
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,error_left,2
sub18,task2,3,clean_epochs_task2_ICA_sub18_clr1_sess1-epo.fif,error_right,5
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,correct,138
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,error,12
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,left,24
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,right,126
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,correct_left,23
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,correct_right,115
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,error_left,1
sub18,task2,4,clean_epochs_task2_ICA_sub18_clr1_sess2-epo.fif,error_right,11
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,correct,128
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,error,22
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,left,30
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,right,120
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,correct_left,21
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,correct_right,107
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,error_left,9
sub19,task2,3,clean_epochs_task2_ICA_sub19_llx1_sess1-epo.fif,error_right,13
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,correct,135
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,error,15
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,left,16
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,right,134
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,correct_left,12
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,correct_right,123
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,error_left,4
sub19,task2,4,clean_epochs_task2_ICA_sub19_llx1_sess2-epo.fif,error_right,11
