"model" "logLik" "n_par" "AIC" "relModLik" "fixed_shift" "w1" "theta2" "m" "w" "id" "seq" "acc.stat" "acc.p.value"
"sub1" -155.906633925515 1 313.81326785103 1 -1.16387615043474 NA NA NA 0.441936766781764 "8_03" 3 8.75926906779661 0.00154016238553299
"sub2" -155.033268172622 2 314.066536345245 0.881055862402701 NA 0.165250395703524 -1.42199324612148 NA 0.389370979184368 "8_03" 3 8.75926906779661 0.00154016238553299
"metanoise" -156.86972639316 1 315.739452786321 0.381710631098177 NA NA NA 0.48361504755045 0.168691962153755 "8_03" 3 8.75926906779661 0.00154016238553299
"bayes" -145.821764902003 0 291.643529804007 0.162147794920708 NA NA NA NA 0.096254487050377 "9_01" 1 42.8956148589398 2.88699696052768e-11
"sub1" -160.308666883576 1 322.617333767152 3.04814045271347e-08 -0.727227653060436 NA NA NA 1.80944302003561e-08 "9_01" 1 42.8956148589398 2.88699696052768e-11
"sub2" -142.651789680098 2 289.303579360197 0.522426056705262 NA 1.0575708938995 -1.8168010900702 NA 0.310123564335282 "9_01" 1 42.8956148589398 2.88699696052768e-11
"metanoise" -143.002517856673 1 288.005035713346 1 NA NA NA 1.34489498607788 0.593621930519911 "9_01" 1 42.8956148589398 2.88699696052768e-11
"bayes" -217.874686885722 0 435.749373771444 0.00664175766767158 NA NA NA NA 0.00625434820937393 "9_02" 2 21.7028003613369 1.5916312584229e-06
"sub1" -224.851990928732 1 451.703981857463 2.27920767913201e-06 -0.659895458661754 NA NA NA 2.14626295930005e-06 "9_02" 2 21.7028003613369 1.5916312584229e-06
"sub2" -210.860308244186 2 425.720616488371 1 NA 0.975939440168309 -2.04776183386434 NA 0.94167064236876 "9_02" 2 21.7028003613369 1.5916312584229e-06
"metanoise" -214.755319868683 1 431.510639737366 0.0552983822750581 NA NA NA 1.36497722874248 0.0520728631589072 "9_02" 2 21.7028003613369 1.5916312584229e-06
"bayes" -161.282707002121 0 322.565414004243 0.0211298785556354 NA NA NA NA 0.0147430434669871 "9_03" 3 13.3462282398452 0.000129471452923629
"sub1" -167.667364572996 1 337.334729145992 1.31153826870483e-05 -1.11008828190937 NA NA NA 9.1510538753075e-06 "9_03" 3 13.3462282398452 0.000129471452923629
"sub2" -155.425639807265 2 314.851279614531 1 NA 0.532779578126908 -1.97506175735976 NA 0.697734415660194 "9_03" 3 13.3462282398452 0.000129471452923629
"metanoise" -157.312208911862 1 316.624417823724 0.412067089376549 NA NA NA 0.710870096531173 0.287513389818944 "9_03" 3 13.3462282398452 0.000129471452923629
