subject,task,session,file,condition,n_trials
sub26,task2,4,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,right,275
sub26,task2,4,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,correct_left,25
sub26,task2,4,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,correct_right,263
sub26,task2,4,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,error_left,0
sub26,task2,4,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,error_right,12
sub26,task2,1,clean_epochs_task2_ICA_sub26_pzq1_sess1-epo.fif,correct,122
sub26,task2,1,clean_epochs_task2_ICA_sub26_pzq1_sess1-epo.fif,error,28
sub26,task2,1,clean_epochs_task2_ICA_sub26_pzq1_sess1-epo.fif,left,79
sub26,task2,1,clean_epochs_task2_ICA_sub26_pzq1_sess1-epo.fif,right,71
sub26,task2,1,clean_epochs_task2_ICA_sub26_pzq1_sess1-epo.fif,correct_left,59
sub26,task2,1,clean_epochs_task2_ICA_sub26_pzq1_sess1-epo.fif,correct_right,63
sub26,task2,1,clean_epochs_task2_ICA_sub26_pzq1_sess1-epo.fif,error_left,20
sub26,task2,1,clean_epochs_task2_ICA_sub26_pzq1_sess1-epo.fif,error_right,8
sub26,task2,2,clean_epochs_task2_ICA_sub26_pzq1_sess2-epo.fif,correct,128
sub26,task2,2,clean_epochs_task2_ICA_sub26_pzq1_sess2-epo.fif,error,22
sub26,task2,2,clean_epochs_task2_ICA_sub26_pzq1_sess2-epo.fif,left,73
sub26,task2,2,clean_epochs_task2_ICA_sub26_pzq1_sess2-epo.fif,right,77
sub26,task2,2,clean_epochs_task2_ICA_sub26_pzq1_sess2-epo.fif,correct_left,61
sub26,task2,2,clean_epochs_task2_ICA_sub26_pzq1_sess2-epo.fif,correct_right,67
sub26,task2,2,clean_epochs_task2_ICA_sub26_pzq1_sess2-epo.fif,error_left,12
sub26,task2,2,clean_epochs_task2_ICA_sub26_pzq1_sess2-epo.fif,error_right,10
sub27,task2,3,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,correct,257
sub27,task2,3,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,error,43
sub27,task2,3,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,left,49
sub27,task2,3,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,right,251
sub27,task2,3,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,correct_left,24
sub27,task2,3,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,correct_right,233
sub27,task2,3,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,error_left,25
sub27,task2,3,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,error_right,18
sub27,task2,4,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,correct,267
sub27,task2,4,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,error,33
sub27,task2,4,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,left,94
sub27,task2,4,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,right,206
sub27,task2,4,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,correct_left,79
sub27,task2,4,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,correct_right,188
sub27,task2,4,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,error_left,15
sub27,task2,4,clean_epochs_task2_ICA_sub27_lyj1_sess4-epo.fif,error_right,18
sub27,task2,1,clean_epochs_task2_ICA_sub27_lyj1_sess1-epo.fif,correct,138
sub27,task2,1,clean_epochs_task2_ICA_sub27_lyj1_sess1-epo.fif,error,12
sub27,task2,1,clean_epochs_task2_ICA_sub27_lyj1_sess1-epo.fif,left,71
sub27,task2,1,clean_epochs_task2_ICA_sub27_lyj1_sess1-epo.fif,right,79
sub27,task2,1,clean_epochs_task2_ICA_sub27_lyj1_sess1-epo.fif,correct_left,68
sub27,task2,1,clean_epochs_task2_ICA_sub27_lyj1_sess1-epo.fif,correct_right,70
sub27,task2,1,clean_epochs_task2_ICA_sub27_lyj1_sess1-epo.fif,error_left,3
sub27,task2,1,clean_epochs_task2_ICA_sub27_lyj1_sess1-epo.fif,error_right,9
sub27,task2,2,clean_epochs_task2_ICA_sub27_lyj1_sess2-epo.fif,correct,130
sub27,task2,2,clean_epochs_task2_ICA_sub27_lyj1_sess2-epo.fif,error,20
sub27,task2,2,clean_epochs_task2_ICA_sub27_lyj1_sess2-epo.fif,left,66
sub27,task2,2,clean_epochs_task2_ICA_sub27_lyj1_sess2-epo.fif,right,84
sub27,task2,2,clean_epochs_task2_ICA_sub27_lyj1_sess2-epo.fif,correct_left,63
sub27,task2,2,clean_epochs_task2_ICA_sub27_lyj1_sess2-epo.fif,correct_right,67
sub27,task2,2,clean_epochs_task2_ICA_sub27_lyj1_sess2-epo.fif,error_left,3
sub27,task2,2,clean_epochs_task2_ICA_sub27_lyj1_sess2-epo.fif,error_right,17
sub28,task2,1,clean_epochs_task2_ICA_sub28_hbf1_sess1-epo.fif,correct,129
sub28,task2,1,clean_epochs_task2_ICA_sub28_hbf1_sess1-epo.fif,error,21
sub28,task2,1,clean_epochs_task2_ICA_sub28_hbf1_sess1-epo.fif,left,78
sub28,task2,1,clean_epochs_task2_ICA_sub28_hbf1_sess1-epo.fif,right,72
